idAlignement;idPooler;prenomJoueur;nomJoueur;idNHL;statutJoueur;dateDebut;dateFin;pjActuels;butsActuels;assistActuels;pointsActuels
1;hub;Carter;Hart;8479394;Alignement;2021-01-13;2021-01-28;;;;
2;hub;Nathan;Mackinnon;8477492;Blessé;2021-02-01;ajd;;;;
3;hub;Nathan;Mackinnon;8477492;Alignement;2021-01-13;2021-01-31;;;;
4;hub;Jonathan;Huberdeau;8476456;Alignement;2021-01-13;2021-01-28;;;;
5;hub;Adam;Boqvist;8480871;Réserve;2021-01-13;2021-01-14;;;;
6;hub;Adam;Boqvist;8480871;Alignement;2021-01-15;2021-01-21;;;;
7;hub;Adam;Boqvist;8480871;Réserve;2021-01-22;ajd;;;;
8;hub;Miro;Heiskanen;8480036;Alignement;2021-01-13;2021-01-14;;;;
9;hub;Miro;Heiskanen;8480036;Réserve;2021-01-15;2021-01-21;;;;
10;hub;Miro;Heiskanen;8480036;Alignement;2021-01-22;ajd;;;;
11;hub;Conor;Garland;8478856;Réserve;2021-01-13;ajd;;;;
12;hub;Bowen;Byram;8481524;Réserve;2021-01-31;ajd;;;;
13;hub;Ilya;Samsonov;8478492;Réserve;2021-01-13;ajd;;;;
14;hub;Leon;Draisaitl;8477934;Alignement;2021-01-13;ajd;;;;
15;hub;Kailer;Yamamoto;8479977;Alignement;2021-02-02;ajd;;;;
16;hub;Nick;Suzuki;8480018;Alignement;2021-01-29;ajd;;;;
17;hub;Johnny;Gaudreau;8476346;Alignement;2021-01-13;ajd;;;;
18;hub;Andrei;Svechnikov;8480830;Alignement;2021-01-13;ajd;;;;
19;hub;Mitchell;Marner;8478483;Alignement;2021-01-13;ajd;;;;
20;hub;Jack;Eichel;8478403;Alignement;2021-01-13;ajd;;;;
21;hub;Brad;Marchand;8473419;Alignement;2021-01-13;ajd;;;;
22;hub;Mark;Scheifele;8476460;Alignement;2021-01-13;ajd;;;;
23;hub;Morgan;Rielly;8476853;Alignement;2021-01-13;ajd;;;;
24;hub;Quinn;Hughes;8480800;Alignement;2021-01-13;ajd;;;;
26;hub;John;Carlson;8474590;Alignement;2021-01-13;ajd;;;;
27;hub;Frederik;Andersen;8475883;Alignement;2021-01-29;ajd;;;;
28;hub;Kailer;Yamamoto;8479977;Réserve;2021-01-13;2021-02-01;;;;
29;hub;Nick;Suzuki;8480018;Réserve;2021-01-13;2021-01-28;;;;
