idNHL;idHockeyRef;prenomJoueur;nomJoueur;position;salaireActuel
8475883;anderfr01;Frederik;Andersen;G;5000000
8477934;draisle01;Leon;Draisaitl;A;8500000
8478483;marnemi01;Mitchell;Marner;A;10893000
8477492;mackina01;Nathan;Mackinnon;A;6300000
8478403;eicheja01;Jack;Eichel;A;10000000
8476346;gaudrjo01;Johnny;Gaudreau;A;6750000
8476460;scheima01;Mark;Scheifele;A;6125000
8480830;svechan01;Andrei;Svechnikov;A;925000
8473419;marchbr01;Brad;Marchand;A;6125000
8474590;carlsjo01;John;Carlson;D;8000000
8480800;hughequ01;Quinn;Hughes;D;916667
8476853;riellmo01;Morgan;Rielly;D;5000000
8480036;heiskmi01;Miro;Heiskanen;D;894166
8481524;byrambo01;Bowen;Byram;D;894167
8480018;suzukni01;Nick;Suzuki;A;863333
8479977;yamamka01;Kailer;Yamamoto;A;894166
8478856;garlaco01;Conor;Garland;A;775000
8480871;boqviad01;Adam;Boqvist;D;894167
8478492;samsoil01;Ilya;Samsonov;G;925000
8479398;girarsa01;Samuel;Girard;D;5000000
8478038;toewsde01;Devon;Toews;D;4100000
8478469;chaboth01;Thomas;Chabot;D;8000000
8476979;gustaer01;Erik;Gustafsson;D;3000000
8477939;nylanwi01;William;Nylander;A;6962366
8476461;coutuse01;Sean;Couturier;A;4333333
8479337;debrial01;Alex;Debrincat;A;6400000
8482109;lafreal01;Alexis;Lafreniere;A;925000
8477956;pastrda01;David;Pastrnak;A;6666667
8477503;domima01;Max;Domi;A;5300000
8478402;mcdavco01;Connor;McDavid;A;12500000
8477493;barkoal01;Aleksander;Barkov;A;5900000
8481582;roberni01;Nicholas;Robertson;A;821667
8476456;huberjo01;Jonathan;Huberdeau;A;5900000
8479394;hartca01;Carter;Hart;G;730833
8481523;dachki01;Kirby;Dach;A;925000
8481598;brobeph01;Philip;Broberg;D;894167
8481528;cozendy01;Dylan;Cozens;A;894167
8479496;rittida01;David;Rittich;G;2750000
8482097;quinnja01;Jack;Quinn;A;925000
8478010;pointbr01;Brayden;Point;A;6750000
8478444;boesebr01;Brock;Boeser;A;5875000
8480012;petteel01;Elias;Pettersson;A;925000
8477404;guentja01;Jake;Guentzel;A;6000000
8476459;zibanmi01;Mika;Zibanejad;A;5350000
8474141;kanepa01;Patrick;Kane;A;10500000
8474564;stamkst01;Steven;Stamkos;A;8500000
8478109;olofsvi01;Victor;Olofsson;A;3050000
8478445;barzama01;Mathew;Barzal;A;7000000
8480069;makarca01;Cale;Makar;D;880833
8479323;foxad01;Adam;Fox;D;925000
8480839;dahlira01;Rasmus;Dahlin;D;925000
8475906;klingjo01;John;Klingberg;D;4250000
8476883;vasilan01;Andrei;Vasilevskiy;G;9500000
8476453;kucheni01;Nikita;Kucherov;A;9500000
8477942;fialake01;Kevin;Fiala;A;3000000
8478864;kapriki01;Kirill;Kaprizov;A;925000
8482116;stutzti01;Tim;Stutzle;A;925000
8481559;hugheja01;Jack;Hughes;A;925000
8479425;hronefi01;Filip;Hronek;D;714166
8478048;shestig01;Igor;Shesterkin;G;925000
