Game_Id;Date;Event;Away_Team;Home_Team;Away_Score;Home_Score;gagnant
20001;2019-10-02;GEND;OTT;TOR;3;5;TOR
20002;2019-10-02;GEND;WSH;STL;3;2;WSH
20003;2019-10-02;GEND;VAN;EDM;2;3;EDM
20004;2019-10-02;GEND;S.J;VGK;1;4;VGK
20005;2019-10-03;GEND;FLA;T.B;2;5;T.B
20006;2019-10-03;GEND;WPG;NYR;4;6;NYR
20007;2019-10-03;GEND;BUF;PIT;3;1;BUF
20008;2019-10-03;GEND;MTL;CAR;3;4;CAR
20009;2019-10-03;GEND;MIN;NSH;2;5;NSH
20010;2019-10-03;GEND;BOS;DAL;2;1;BOS
20011;2019-10-03;GEND;CGY;COL;3;5;COL
20012;2019-10-03;GEND;ARI;ANA;1;2;ANA
20016;2019-10-04;GEND;CHI;PHI;3;4;PHI
20013;2019-10-04;GEND;WPG;N.J;6;5;WPG
20014;2019-10-04;GEND;WSH;NYI;2;1;WSH
20015;2019-10-04;GEND;TOR;CBJ;4;1;TOR
20017;2019-10-04;GEND;VGK;S.J;5;1;VGK
20018;2019-10-05;GEND;N.J;BUF;2;7;BUF
20019;2019-10-05;GEND;MTL;TOR;6;5;MTL
20020;2019-10-05;GEND;NYR;OTT;4;1;NYR
20021;2019-10-05;GEND;T.B;FLA;3;4;FLA
20022;2019-10-05;GEND;CBJ;PIT;2;7;PIT
20023;2019-10-05;GEND;CAR;WSH;3;2;CAR
20024;2019-10-05;GEND;DAL;STL;2;3;STL
20025;2019-10-05;GEND;DET;NSH;5;3;DET
20027;2019-10-05;GEND;BOS;ARI;1;0;BOS
20026;2019-10-05;GEND;MIN;COL;2;4;COL
20030;2019-10-05;GEND;S.J;ANA;1;3;ANA
20028;2019-10-05;GEND;VAN;CGY;0;3;CGY
20029;2019-10-05;GEND;L.A;EDM;5;6;EDM
20031;2019-10-06;GEND;T.B;CAR;3;4;CAR
20032;2019-10-06;GEND;DAL;DET;3;4;DET
20033;2019-10-06;GEND;WPG;NYI;1;4;NYI
20034;2019-10-07;GEND;STL;TOR;3;2;STL
20035;2019-10-07;GEND;BUF;CBJ;3;4;CBJ
20036;2019-10-08;GEND;CAR;FLA;6;3;CAR
20037;2019-10-08;GEND;EDM;NYI;5;2;EDM
20038;2019-10-08;GEND;WPG;PIT;4;1;WPG
20039;2019-10-08;GEND;DAL;WSH;4;3;DAL
20040;2019-10-08;GEND;ANA;DET;3;1;ANA
20041;2019-10-08;GEND;S.J;NSH;2;5;NSH
20042;2019-10-08;GEND;L.A;CGY;4;3;L.A
20043;2019-10-08;GEND;BOS;VGK;4;3;BOS
20044;2019-10-09;GEND;MTL;BUF;4;5;BUF
20045;2019-10-09;GEND;N.J;PHI;0;4;PHI
20046;2019-10-09;GEND;L.A;VAN;2;8;VAN
20047;2019-10-10;GEND;T.B;TOR;7;3;T.B
20048;2019-10-10;GEND;DET;MTL;4;2;DET
20049;2019-10-10;GEND;EDM;N.J;4;3;EDM
20050;2019-10-10;GEND;ANA;PIT;1;2;PIT
20051;2019-10-10;GEND;STL;OTT;6;4;STL
20052;2019-10-10;GEND;WSH;NSH;5;6;NSH
20053;2019-10-10;GEND;MIN;WPG;2;5;WPG
20054;2019-10-10;GEND;S.J;CHI;5;4;S.J
20055;2019-10-10;GEND;CGY;DAL;4;3;CGY
20056;2019-10-10;GEND;BOS;COL;2;4;COL
20057;2019-10-10;GEND;VGK;ARI;1;4;ARI
20058;2019-10-11;GEND;FLA;BUF;2;4;BUF
20059;2019-10-11;GEND;ANA;CBJ;2;1;ANA
20060;2019-10-11;GEND;NYI;CAR;2;5;CAR
20061;2019-10-12;GEND;EDM;NYR;4;1;EDM
20062;2019-10-12;GEND;T.B;OTT;2;4;OTT
20063;2019-10-12;GEND;NSH;L.A;4;7;L.A
20069;2019-10-12;GEND;WPG;CHI;3;2;WPG
20064;2019-10-12;GEND;N.J;BOS;0;3;BOS
20065;2019-10-12;GEND;STL;MTL;3;6;MTL
20066;2019-10-12;GEND;TOR;DET;5;2;TOR
20067;2019-10-12;GEND;FLA;NYI;2;3;NYI
20068;2019-10-12;GEND;CBJ;CAR;3;2;CBJ
20070;2019-10-12;GEND;WSH;DAL;4;1;WSH
20071;2019-10-12;GEND;PIT;MIN;7;4;PIT
20072;2019-10-12;GEND;ARI;COL;2;3;COL
20073;2019-10-12;GEND;PHI;VAN;3;4;VAN
20074;2019-10-12;GEND;CGY;VGK;2;6;VGK
20075;2019-10-13;GEND;PIT;WPG;7;2;PIT
20076;2019-10-13;GEND;VGK;L.A;5;2;VGK
20077;2019-10-13;GEND;CGY;S.J;1;3;S.J
20078;2019-10-14;GEND;ANA;BOS;2;4;BOS
20079;2019-10-14;GEND;MIN;OTT;2;0;MIN
20080;2019-10-14;GEND;FLA;N.J;6;4;FLA
20081;2019-10-14;GEND;STL;NYI;2;3;NYI
20082;2019-10-14;GEND;DAL;BUF;0;4;BUF
20083;2019-10-14;GEND;COL;WSH;6;3;COL
20084;2019-10-14;GEND;EDM;CHI;1;3;CHI
20085;2019-10-15;GEND;MIN;TOR;2;4;TOR
20086;2019-10-15;GEND;T.B;MTL;3;1;T.B
20087;2019-10-15;GEND;ARI;WPG;4;2;ARI
20088;2019-10-15;GEND;PHI;CGY;1;3;CGY
20089;2019-10-15;GEND;DET;VAN;1;5;VAN
20090;2019-10-15;GEND;NSH;VGK;5;2;NSH
20091;2019-10-15;GEND;CAR;L.A;2;0;CAR
20092;2019-10-16;GEND;COL;PIT;2;3;PIT
20093;2019-10-16;GEND;TOR;WSH;3;4;WSH
20094;2019-10-16;GEND;DAL;CBJ;2;3;CBJ
20095;2019-10-16;GEND;PHI;EDM;3;6;EDM
20096;2019-10-16;GEND;BUF;ANA;2;5;ANA
